1119	1169	Call	cc	Jacksons	JF003	su	04/22/1995		g.r./bkg	cc at 18.40/18.42/18.44/18.46/18.48/18.52/18.54/18.56/19.03/19.05/19.07	20	BK 40		MK_DT1_114
1169	1190	Call	sn	Jacksons	JF003	su	04/22/1995		g.r.	sn at 19.33/19.35/19.38/19.39	20	BK 40		MK_DT1_115
1190	1193	Call	ss	Jacksons	JF003	su	04/22/1995		g.r.		20	BK 40		MK_DT1_116
1193	1218	Call	sn	Jacksons	JF003	su	04/22/1995		g.r.	sn at 19.57/20.08/20.11	20	BK 40		MK_DT1_117
1218	1226	Call	zn	Jacksons	JF003	su	04/22/1995		g.r.		20	BK 40		MK_DT1_118
1226	1228	Call	sn	Jacksons	JF003	su	04/22/1995		g.r.		20	BK 40		MK_DT1_119
1228	1239	Call	cc	Jacksons	JF003	su	04/22/1995		g.r./bkg	cc at 20.34/20.36	20	BK 40		MK_DT1_120
1239	1245	Call	sn	Jacksons	JF003	su	04/22/1995		g.r.	sn at 20.42	20	BK 40		MK_DT1_121
1245	1248	Call	cc	Jacksons	JF003	su	04/22/1995		g.r./bkg	cc at 20.46	20	BK 40		MK_DT1_122
1248	1250	Call	short wc	Jacksons	JF003	su	04/22/1995		g.r.		20	BK 40		MK_DT1_123
1250	1253	Call	sn	Jacksons	JF003	su	04/22/1995		g.r.		20	BK 40		MK_DT1_124
1253	1254	Call	cc	Jacksons	JF003	su	04/22/1995		g.r./bkg		20	BK 40		MK_DT1_125
1254	1258	Call	zn	Jacksons	JF003	su	04/22/1995		g.r.	zn at 20.57	20	BK 40		MK_DT1_126
1258	1266	Call	cc	Jacksons	JF003	su	04/22/1995		g.r./bkg	cc at 20.59	20	BK 40		MK_DT1_127
1266	1287	Call	sn	Jacksons	JF003	su	04/22/1995		g.r.		20	BK 40		MK_DT1_128
1287	1294	Call	wc	Jacksons	JF004	gt	04/22/1995	4.13	g.r.	wc at 21.32/21.33	20	BK 30		MK_DT1_129
1294	1320	Call	md	Jacksons	JF004	gt	04/22/1995		g.r.	mod al at 21.34/21.35/21.39/21.40/21.41/21.45/21.47	20	BK 40		MK_DT1_130
1320	1324	Call	sn (gkz)	Jacksons	JF004	gt	04/22/1995	4.14	g.r.		20	BK 40		MK_DT1_131
1324	1327	Call	talking	Jacksons	JF004	gt	04/22/1995		g.r.	Ruth talking	20	BK 40		MK_DT1_132
1327	1348	Call	sn	Jacksons	JF004	gt	04/22/1995		g.r.		20	BK 40		MK_DT1_133
1348	1351	Call	zn	Jacksons	JF004	gt	04/22/1995		g.r.		20	BK 40		MK_DT1_134
1351	1359	Call	cc	Jacksons	JF004	gt	04/22/1995		g.r./bkg		20	BK 40		MK_DT1_135
1359	1395	Call		Jacksons	JF004	gt	04/22/1995		g.r.	explanation	20	BK 40		MK_DT1_136
1395	1397	Call	"wc, md"	Jacksons	JF004	gt	04/22/1995	4.26	g.r.		20	BK 40		MK_DT1_137
1397	1402	Call	md	Jacksons	JF004	gt	04/22/1995		g.r.	mod al at 23.18	20	BK 40		MK_DT1_138
1402	1404	Call	short wc	Jacksons	JF004	gt	04/22/1995		g.r.		20	BK 40		MK_DT1_139
1404	1439	Call	md	Jacksons	JF004	gt	04/22/1995		g.r.	mod al at 23.25	20	BK 40		MK_DT1_140
1439	1443	Call	cc	Jacksons	JF004	gt	04/22/1995		g.r./bkg		20	BK 40-30		MK_DT1_141
1443	1446	Call	wc	Jacksons	JF004	gt	04/22/1995		g.r.	wc at 24.04	20	BK 40-30		MK_DT1_142
1446	1473	Call	short wc	Jacksons	JF004	gt	04/22/1995		g.r.		20	BK 40-30		MK_DT1_143
1473	1480	Call	cc	Jacksons	JF004	gt	04/22/1995		g.r./bkg	cc at 24.35	20	BK 40-30		MK_DT1_144
1480	1482	Call	cc	Jacksons	JF004	gt	04/22/1995		g.r.	don't know who	20	BK 40-30		MK_DT1_145
1482	1497	Call	explan	Jacksons	JF004	gt	04/22/1995		g.r.	"explanation, alarm because of bird, don't know which species"	20	BK 40-30		MK_DT1_146
1497	1506	Call	sn	Jacksons	JF003	ga	04/22/1995		g.r.	sn at 25.04	20	BK 40-30		MK_DT1_147
1506	1507	Call	cc 	Jacksons	JF003	ga	04/22/1995		g.r.	don't know who	20	BK 40-30		MK_DT1_148
1507	1508	Call	cc	Jacksons	JF003	ga	04/22/1995		g.r./bkg		20	BK 40-30		MK_DT1_149
